username,content,like_count,retweet_count,location,year,tweets,location_cleaned,tokens,tokens_cleaned,polarity_score
AppolonaAdeyemi,mPharma launches mobile POS to enhance retail operations for pharmacies https://t.co/0d9cx2NSUg via @Newtelegraphng @jidesanwoolu @emzornigeria @mPharmaHealth @Fmohnigeria @LSMOH @nmanigeria,0,0,"""""",2023,mPharma launches mobile POS to enhance retail operations for pharmacies  via       ,"""""","['mPharma', 'launches', 'mobile', 'POS', 'to', 'enhance', 'retail', 'operations', 'for', 'pharmacies', 'via']",mPharma launches mobile POS enhance retail operations pharmacies via,0.0
DRF_India,Medical expenses push millions into poverty. Patients can use Mutti Card by @mPharmaHealth to pay for medicines at network pharmacies in installments. They also achieve lower prices for network pharmacies by predicting &amp; aggregating demand👏#innovation #healthcare #SDGs https://t.co/HdApwigCYP,2,1,Hyderabad,2023,Medical expenses push millions into poverty Patients can use Mutti Card by  to pay for medicines at network pharmacies in installments They also achieve lower prices for network pharmacies by predicting amp aggregating demand   ,Hyderabad,"['Medical', 'expenses', 'push', 'millions', 'into', 'poverty', 'Patients', 'can', 'use', 'Mutti', 'Card', 'by', 'to', 'pay', 'for', 'medicines', 'at', 'network', 'pharmacies', 'in', 'installments', 'They', 'also', 'achieve', 'lower', 'prices', 'for', 'network', 'pharmacies', 'by', 'predicting', 'amp', 'aggregating', 'demand']",Medical expenses push millions poverty Patients use Mutti Card pay medicines network pharmacies installments also achieve lower prices network pharmacies predicting amp aggregating demand,0.0
PaulDamalie,"Pretty excited for my sister , she's studying biological sciences and software engineering. She's excited about her career options.@Rockson2  @mPharmaHealth What are the internship opportunities for her profile?",1,0,ACC/ LON,2023,Pretty excited for my sister  shes studying biological sciences and software engineering Shes excited about her career options   What are the internship opportunities for her profile,ACC/ LON,"['Pretty', 'excited', 'for', 'my', 'sister', 'shes', 'studying', 'biological', 'sciences', 'and', 'software', 'engineering', 'Shes', 'excited', 'about', 'her', 'career', 'options', 'What', 'are', 'the', 'internship', 'opportunities', 'for', 'her', 'profile']",Pretty excited sister shes studying biological sciences software engineering Shes excited career options internship opportunities profile,0.3333333333333333
AlsoliCinzia,"Greetings @mPharmaHealth, pls support #SaveSoil for a #ConsciousPlanet! 
#TsekeWalksForSoil @FKihamut 
@JideJaydee
@SaveSoilSourav
@cpsavesoil https://t.co/HRnjGZVghR",22,10,Legnano -MI- Italia,2023,"Greetings  pls support  for a  
  


 ",Legnano -MI- Italia,"['Greetings', 'pls', 'support', 'for', 'a']",Greetings pls support,0.0
SaveSoilSourav,"Greetings @mPharmaHealth 
Mr Tseke Nkadimeng @HeadlinesMzans &amp; team are walking 10,000km to raise #SaveSoil awareness. It will be great to have your cheer!
@cpsavesoil #TsekeWalksForSoil",30,21,India,2023,"Greetings  
Mr Tseke Nkadimeng  amp team are walking 10000km to raise  awareness It will be great to have your cheer
 ",India,"['Greetings', 'Mr', 'Tseke', 'Nkadimeng', 'amp', 'team', 'are', 'walking', '10000km', 'to', 'raise', 'awareness', 'It', 'will', 'be', 'great', 'to', 'have', 'your', 'cheer']",Greetings Mr Tseke Nkadimeng amp team walking 10000km raise awareness great cheer,0.8
PythonAccra,"Join us as we kick-off our #PyChat series with the need-to-know of a Software Engineer.

Let's learn about the journey of Kwame, a Software Engineer at @mPharmaHealth on how he got started and progressed along the way.

Registration link: https://t.co/IyyPvfaquy

#PythonAccra https://t.co/QgmxI71uie",44,26,"Accra, Ghana",2023,"Join us as we kickoff our  series with the needtoknow of a Software Engineer

Lets learn about the journey of Kwame a Software Engineer at  on how he got started and progressed along the way

Registration link 

 ","Accra, Ghana","['Join', 'us', 'as', 'we', 'kickoff', 'our', 'series', 'with', 'the', 'needtoknow', 'of', 'a', 'Software', 'Engineer', 'Lets', 'learn', 'about', 'the', 'journey', 'of', 'Kwame', 'a', 'Software', 'Engineer', 'at', 'on', 'how', 'he', 'got', 'started', 'and', 'progressed', 'along', 'the', 'way', 'Registration', 'link']",Join us kickoff series needtoknow Software Engineer Lets learn journey Kwame Software Engineer got started progressed along way Registration link,0.0
Dr_nuellie_,"I’ve found that sometimes patients find it difficult to discuss sexual health issues face to face. And for that @mpharmamutti has gotten qualified health professionals on their website to answer all your sexual health questions anonymously!

Click here: https://t.co/RD7wDxTkLz",5,3,Ghana,2023,"Ive found that sometimes patients find it difficult to discuss sexual health issues face to face And for that  has gotten qualified health professionals on their website to answer all your sexual health questions anonymously

Click here ",Ghana,"['Ive', 'found', 'that', 'sometimes', 'patients', 'find', 'it', 'difficult', 'to', 'discuss', 'sexual', 'health', 'issues', 'face', 'to', 'face', 'And', 'for', 'that', 'has', 'gotten', 'qualified', 'health', 'professionals', 'on', 'their', 'website', 'to', 'answer', 'all', 'your', 'sexual', 'health', 'questions', 'anonymously', 'Click', 'here']",Ive found sometimes patients find difficult discuss sexual health issues face face gotten qualified health professionals website answer sexual health questions anonymously Click,0.16666666666666666
Dr_nuellie_,"Have you visited @mpharmamutti's website? They have doctors on standby from now till 16th Feb to anonymously (for we the shy ones🙈🤣) answer all your questions on sexual and general health.

Check it out here:
https://t.co/RD7wDxTkLz",7,5,Ghana,2023,"Have you visited s website They have doctors on standby from now till 16th Feb to anonymously for we the shy ones answer all your questions on sexual and general health

Check it out here
",Ghana,"['Have', 'you', 'visited', 's', 'website', 'They', 'have', 'doctors', 'on', 'standby', 'from', 'now', 'till', '16th', 'Feb', 'to', 'anonymously', 'for', 'we', 'the', 'shy', 'ones', 'answer', 'all', 'your', 'questions', 'on', 'sexual', 'and', 'general', 'health', 'Check', 'it', 'out', 'here']",visited website doctors standby till 16th Feb anonymously shy ones answer questions sexual general health Check,0.016666666666666673
mamiyaa,"My first CPD!!! 
I’ll be sharing a bit from our (@mPharmaHealth @mpharmamutti ) work in cervical cancer in Ghana. 
If you’re a pharmacist in Ghana, it’s live now but you can access it on the CES platform until later this month. https://t.co/xdodL1QeCb",31,19,"""""",2023,"My first CPD 
Ill be sharing a bit from our    work in cervical cancer in Ghana 
If youre a pharmacist in Ghana its live now but you can access it on the CES platform until later this month ","""""","['My', 'first', 'CPD', 'Ill', 'be', 'sharing', 'a', 'bit', 'from', 'our', 'work', 'in', 'cervical', 'cancer', 'in', 'Ghana', 'If', 'youre', 'a', 'pharmacist', 'in', 'Ghana', 'its', 'live', 'now', 'but', 'you', 'can', 'access', 'it', 'on', 'the', 'CES', 'platform', 'until', 'later', 'this', 'month']",first CPD Ill sharing bit work cervical cancer Ghana youre pharmacist Ghana live access CES platform later month,-0.02840909090909091
Dr_nuellie_,"It’s Val’s Day &amp; I’m sure some of us have questions about sex but don’t know who or are too shy to ask. That’s why @mpharmamutti has made doctors available from now till 16th Feb to answer your questions anonymously!

Simply click this link to #spillthetea https://t.co/RD7wDxTkLz",3,4,Ghana,2023,"Its Vals Day amp Im sure some of us have questions about sex but dont know who or are too shy to ask Thats why  has made doctors available from now till 16th Feb to answer your questions anonymously

Simply click this link to  ",Ghana,"['Its', 'Vals', 'Day', 'amp', 'Im', 'sure', 'some', 'of', 'us', 'have', 'questions', 'about', 'sex', 'but', 'dont', 'know', 'who', 'or', 'are', 'too', 'shy', 'to', 'ask', 'Thats', 'why', 'has', 'made', 'doctors', 'available', 'from', 'now', 'till', '16th', 'Feb', 'to', 'answer', 'your', 'questions', 'anonymously', 'Simply', 'click', 'this', 'link', 'to']",Vals Day amp Im sure us questions sex dont know shy ask Thats made doctors available till 16th Feb answer questions anonymously Simply click link,0.1
